"setting","dataset","method_id","family","method_label","mrts_k","quantile","baseline_brier","mrts_brier","delta_brier","baseline_quant","mrts_quant","delta_quant"
4,12,1,"gaussian","Gaussian",10,0.92,0.0115268498727273,0.0115788062,5.19563272727269e-05,1.90130349686017,1.90135197106572,4.8474205547544e-05
4,12,1,"gaussian","Gaussian",10,0.93,0.00937735484090909,0.00938445383636364,7.0989954545457e-06,1.74948678949753,1.74956002056163,7.32310641058387e-05
4,12,1,"gaussian","Gaussian",10,0.94,0.00678407482272727,0.00676176857272727,-2.23062500000005e-05,1.58095465551424,1.58095167047081,-2.98504342466366e-06
4,12,1,"gaussian","Gaussian",10,0.95,0.0102784207818182,0.0102640031954545,-1.44175863636357e-05,1.38423036236559,1.3840252965642,-0.00020506580139279
4,12,1,"gaussian","Gaussian",10,0.96,0.00985210367272727,0.00985128903636364,-8.14636363635421e-07,1.16386153434033,1.16379136048854,-7.01738517905337e-05
4,12,1,"gaussian","Gaussian",10,0.97,0.00879970139545455,0.00882763709545454,2.79356999999987e-05,0.920426937155121,0.920316213298056,-0.000110723857065675
4,12,1,"gaussian","Gaussian",10,0.98,0.00872649562727273,0.00873336249545455,6.86686818181757e-06,0.653060344792623,0.652980002036232,-8.03427563909054e-05
4,12,1,"gaussian","Gaussian",10,0.99,0.00786485275454545,0.00784229879545455,-2.25539590909089e-05,0.360869168332951,0.360738231461976,-0.000130936870974985
4,12,1,"gaussian","Gaussian",10,0.995,0.00345674980454545,0.00347319065454545,1.644085e-05,0.195351766180307,0.195408885573928,5.71193936212411e-05
4,13,1,"gaussian","Gaussian",10,0.9,0.0333266792727273,0.0333082690272727,-1.84102454545421e-05,1.46322939943309,1.46339364867873,0.000164249245641068
4,13,1,"gaussian","Gaussian",10,0.91,0.0290759400045455,0.0290244582318182,-5.14817727272736e-05,1.37920544955905,1.37934498336878,0.000139533809730308
4,13,1,"gaussian","Gaussian",10,0.92,0.0253291549318182,0.02528644205,-4.27128818181813e-05,1.28926242619674,1.28936580925941,0.000103383062670881
4,13,1,"gaussian","Gaussian",10,0.93,0.0235748145090909,0.0235274117590909,-4.74027499999981e-05,1.19191893546148,1.19200960919262,9.06737311410222e-05
4,13,1,"gaussian","Gaussian",10,0.94,0.0189502757818182,0.0189425091,-7.7666818181811e-06,1.08638432042169,1.08640814841845,2.38279967574861e-05
4,13,1,"gaussian","Gaussian",10,0.95,0.0150652126545455,0.0150879833727273,2.27707181818197e-05,0.973814336997715,0.973886595485274,7.22584875583188e-05
4,13,1,"gaussian","Gaussian",10,0.96,0.0114488358545455,0.0114529316863636,4.09583181818288e-06,0.849505224550107,0.849565541107362,6.03165572548026e-05
4,13,1,"gaussian","Gaussian",10,0.97,0.00742960803636364,0.0074154865,-1.41215363636364e-05,0.709266883700927,0.709253262215507,-1.36214854199457e-05
4,13,1,"gaussian","Gaussian",10,0.98,0.00204288430909091,0.00204688928181818,4.00497272727259e-06,0.541901073572944,0.541792334860995,-0.00010873871194983
4,13,1,"gaussian","Gaussian",10,0.99,0.00412471000454545,0.00414851333636364,2.38033318181816e-05,0.299327443593389,0.299438505483944,0.000111061890555875
4,13,1,"gaussian","Gaussian",10,0.995,0.00288469516818182,0.00290336332727273,1.86681590909092e-05,0.159456124007899,0.15944780990997,-8.31409792906301e-06
