"setting","family","method_id","method_label","mrts_k","quantile","n_pairs","n_valid_brier","n_valid_quant","mean_delta_brier","median_delta_brier","win_rate_brier","mean_delta_quant","median_delta_quant","win_rate_quant"
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",15,0.95,50,50,50,8.76604045454534e-06,7.40495454546256e-07,0.46,7.81578945921435e-05,8.75717717755409e-05,0.42
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",15,0.96,50,50,50,6.42057354545481e-06,8.07359545454498e-06,0.44,4.31206318036281e-05,2.9203240480391e-05,0.46
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",15,0.97,50,50,50,3.61900118181813e-06,1.00355840909091e-05,0.46,1.43576599983963e-05,-1.24565343534444e-05,0.52
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",15,0.98,50,50,50,2.31879409090905e-06,-6.88570454545471e-07,0.5,5.16518846436798e-05,0,0.48
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",15,0.99,50,50,50,7.06247572727271e-06,5.25394545454537e-06,0.46,4.99074679483275e-05,8.06206119415009e-06,0.5
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",15,0.995,50,50,50,3.58524909090903e-06,2.30194772727265e-06,0.46,2.24718670335633e-06,-1.92135084639694e-05,0.58
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",20,0.9,50,50,50,1.92367183636361e-05,1.1432875e-05,0.48,0.000232291586479403,0.000195432163152209,0.42
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",20,0.91,50,50,50,1.74244308181821e-05,4.42037727272759e-06,0.44,0.00019424993059026,5.19161124623579e-05,0.48
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",20,0.92,50,50,50,1.74330044545451e-05,2.00524159090915e-05,0.4,0.000142065738482908,4.40927978052619e-05,0.46
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",20,0.93,50,50,50,1.42343881818178e-05,-1.64149431818184e-05,0.54,7.47475570423561e-05,-5.89131709629598e-05,0.58
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",20,0.94,50,50,50,2.84690336363649e-06,-1.06148636363646e-05,0.58,8.48992974249119e-05,9.10219463621242e-05,0.4
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",20,0.95,50,50,50,-1.34601999999991e-07,-6.51154318181794e-06,0.56,6.98894843997677e-05,6.66378402832679e-05,0.46
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",20,0.96,50,50,50,4.10998481818201e-06,-6.64662954545474e-06,0.52,2.59316535768872e-05,1.51702892542405e-05,0.48
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",20,0.97,50,50,50,-4.85345363636352e-07,-4.89168181818213e-06,0.54,-1.30840900253804e-05,-6.36622260934416e-05,0.6
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",20,0.98,50,50,50,5.28424790909096e-06,2.66790909090675e-07,0.48,4.23736897297133e-05,0,0.48
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",20,0.99,50,50,50,6.67772527272729e-06,7.93442727272742e-06,0.42,8.37744180201161e-05,9.53642342727962e-05,0.4
4,"t_k1_thresh_q80",3,"t, K=1, q(0.80)",20,0.995,50,50,50,4.16854090909091e-06,4.69365227272721e-06,0.36,3.35106090061424e-05,1.9568575661176e-05,0.5
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",10,0.9,50,50,50,5.51901572727328e-06,-4.85299772727266e-05,0.6,-3.99251172508297e-05,-1.96359560067361e-05,0.5
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",10,0.91,50,50,50,-4.61513909090876e-07,-5.16470181818173e-05,0.62,-1.79648658274223e-05,1.66746984664456e-06,0.5
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",10,0.92,50,50,50,8.13609636363634e-06,-5.33416022727284e-05,0.54,-0.000112190310273661,-9.99392893333839e-05,0.58
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",10,0.93,50,50,50,2.33801317272724e-05,7.18743409090783e-06,0.48,-0.000123528145615572,-7.88884523521549e-05,0.58
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",10,0.94,50,50,50,-4.3129230909089e-06,-3.38053000000001e-05,0.52,-0.000176536465873585,-0.000159172524049622,0.58
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",10,0.95,50,50,50,7.02656197272729e-05,4.94657704545459e-05,0.44,-7.67022579668941e-05,-5.40115186524193e-05,0.52
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",10,0.96,50,50,50,7.76416950909089e-05,6.15994545454541e-05,0.44,0.000427234119369024,0.000207933294653073,0.38
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",10,0.97,50,50,50,5.58551148181818e-05,4.77501204545448e-05,0.44,0.000388055352031204,0.000226098820553466,0.44
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",10,0.98,50,50,50,2.52025750000001e-05,8.88963863636362e-06,0.46,0.000317609445043039,6.88258095305205e-05,0.38
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",10,0.99,50,50,50,3.26733748181818e-05,-2.32928431818185e-05,0.56,0.000333945500548933,4.70854041731417e-05,0.5
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",10,0.995,50,50,50,6.87079100000003e-06,3.73295681818197e-06,0.48,0.000331892896424403,-1.0186298660772e-05,0.5
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",15,0.9,50,50,50,-8.91356684545453e-05,-6.77389159090894e-05,0.62,-8.3532566363056e-05,5.83774133711135e-06,0.48
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",15,0.91,50,50,50,-7.81345580909091e-05,-4.80338818181804e-05,0.68,-6.13780358469196e-05,6.60816875830417e-06,0.5
