"setting","dataset","method","block","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean"
4,"7","4","2",2.60243608559845,10.2307410139446,1.3584392393314,1.54115633603821,0.881441556294993,1.24296213658998,0.455832311192709,NA,0.456283704613233,NA,3.20838143838568,4.41910684827805,13.7659923104735,13.7184925436612
4,"8","4","2",2.75924420033206,10.1994211678672,1.59727874257035,1.58772253563073,1.0060188141978,1.11014696933112,0.500373865735578,NA,0.489466035759553,NA,3.86363826642111,4.91080288606471,14.6067032746182,14.5978648602289
4,"9","4","2",2.22086959856132,10.2815509931322,1.67139388629112,1.55797433070806,1.0727993737429,1.05372536641633,0.485219798496771,NA,0.62603784262435,NA,3.01477122757383,4.10886931861985,13.9934988624174,13.8137939638863
4,"10","4","2",2.90727180875438,9.74006779193961,1.69008794574265,1.57798976730734,1.07103859654717,1.66463577166623,0.535166992705803,NA,0.53718566661433,NA,2.56955418783726,4.83877576980694,14.6536128309128,14.645862131992
4,"1","1","3",2.83625730626902,10.4457868606875,1.61728031361399,1.60220655035347,1.00940812734613,1.32875489870308,NA,NA,NA,NA,4.83377884060643,5.84344856833266,15.0328099664602,14.9808812303726
4,"2","1","3",2.69497945772706,10.0911172572274,1.59102774078644,1.54151811146206,1.032117448998,0.93884175535416,NA,NA,NA,NA,4.28767911708339,4.4988481698407,14.3789043353208,14.3961964078763
4,"3","1","3",2.7793186716644,10.3608063974895,1.42534958831302,1.49755867388018,0.951782132595804,1.19167731602146,NA,NA,NA,NA,4.3495042251144,4.56635660272,14.322307121937,14.3852826548809
4,"4","1","3",2.64067186299595,9.987725566384,1.28516895356688,1.37357662425076,0.935636884668082,0.955572925828002,NA,NA,NA,NA,3.64499290474932,3.70452477886424,13.381435061264,13.2980418976173
4,"5","1","3",3.33038778177517,9.84882852238052,1.58932921275124,1.51812920120007,1.04689983665085,1.09434769719281,NA,NA,NA,NA,5.05159220802743,5.05159220802743,15.1419111137456,15.1402772283754
4,"6","1","3",2.74846725110981,10.0622978283179,1.63189981811318,1.60488393651367,1.01683354227982,1.14676440940654,NA,NA,NA,NA,4.98608634736399,5.73984112349995,14.547521035494,14.5724090652719
4,"7","1","3",2.69995772560297,10.0952545026183,1.50579767862866,1.50438918934149,1.00093625326288,1.28435239756174,NA,NA,NA,NA,4.16036353078846,4.36383310671522,14.1608445782268,14.1522007024748
4,"8","1","3",2.55174747306693,10.1267170706667,1.52679348583186,1.51795399569314,1.00582329251334,1.1628797914202,NA,NA,NA,NA,4.07666630616378,4.26028600097942,14.0227084900332,14.0492811176416
4,"9","1","3",2.25647636090973,10.386406632591,1.60686847553353,1.52553358854168,1.05331569727652,1.092144474145,NA,NA,NA,NA,3.77637022312666,3.90438741736982,14.0122673627235,13.9033164738419
4,"10","1","3",3.12772608797937,9.7358864123885,1.60164543252297,1.52926269231542,1.04733178973847,1.45823506164839,NA,NA,NA,NA,4.78314369835567,5.06914601790341,14.7453946153836,14.7737719426788
4,"1","2","3",2.92577893276305,10.3689825921725,1.59967285186184,1.60029301051621,0.999612471809661,1.29853657812069,0.643941658333685,-0.160816594845585,0.959045239239904,-0.459980402647873,2.91123670574291,5.3565564452229,15.0492717214628,14.9808812303726
4,"2","2","3",2.65636295008712,10.0162975514928,1.64895233283294,1.54254714522267,1.06898018510475,0.957098469045766,0.597346372445275,-0.245284324519679,0.705122018076257,-0.322034333595812,2.25778998391274,4.72162223562657,14.3965134348899,14.3961964078763
4,"3","2","3",2.78984142336832,10.3506139668204,1.42309120313035,1.49658419903481,0.950892842546479,1.19111310481658,0.65423723212993,-0.31851678928671,0.789041341866191,-0.289903290711237,3.84323561422827,4.53281166849804,14.3208127545445,14.3852826548809
4,"4","2","3",2.89329717827991,9.96866060765831,1.18360011212594,1.37112980051367,0.863229806311934,0.87955235698899,0.749895130817729,-0.302298632289271,0.707062903288985,-0.229257251147873,3.57390194168431,3.90766996607253,13.3931674722841,13.2980418976173
4,"5","2","3",3.40279845580692,9.90581625211018,1.55189348266952,1.5198921371712,1.02105501088905,1.08028947026259,0.880792878618317,-0.440920326081881,0.675323153335246,-0.272717531061462,3.75595392901606,5.35725001473001,15.1865969985149,15.1402772283754
4,"6","2","3",2.84246917844963,10.0339547547295,1.5902255322348,1.60029495381722,0.993707771459004,1.11708522952123,0.720613518038677,-0.268262954996832,0.797365480567168,-0.286665911819307,3.84486636721579,5.88657897015975,14.5541218168906,14.5724090652719
4,"7","2","3",2.67163892456437,10.0903517144794,1.52384994018173,1.50489442532831,1.01259591007474,1.30005304979373,0.73717358846238,-0.380140036631879,0.612150162894822,-0.309125116335131,3.71956057574371,4.29625651061532,14.161528529864,14.1522007024748
4,"8","2","3",2.6265063025791,10.0606232947238,1.50902179956307,1.51523166904327,0.995901702949409,1.13218750875375,0.651417666368397,-0.298736828555571,0.720519814536618,-0.323526879359135,6.06482430258554,6.06482430258554,14.0240785620055,14.0492811176416
4,"9","2","3",2.34916757521325,10.3254256607715,1.57333389866138,1.52070397077896,1.03460892382326,1.06151318617505,0.657617274134369,-0.248002846744738,0.741980106811551,-0.154003100345389,4.87585724926603,4.87585724926603,14.0214506404906,13.9033164738419
