"setting","method","block","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
7,4,3,"tau.beta",10,14.2309296909214,15.3246459365771,3.57886339389473,1.40880117796542
7,4,4,"tau.beta",10,14.4915579158487,15.3374213207593,3.73599844441755,1.29776585486413
7,4,5,"tau.beta",10,14.822812021739,15.1203231647249,3.75965429172409,1.22798002189998
7,2,1,"phi.z1",10,0.417094446747856,0.448877800454188,0.151433750845449,0.135857041849383
7,2,2,"phi.z1",10,0.447617992230618,0.475692541816573,0.138294330395918,0.10843592113506
7,2,3,"phi.z1",10,0.481191480065024,0.490113823829377,0.140300625689859,0.0912125099495603
7,2,4,"phi.z1",10,0.466258557154837,0.467532265997187,0.112325698963702,0.0784334226207808
7,2,5,"phi.z1",10,0.488151670862454,0.459389226726498,0.132713023325184,0.0721372489283462
7,4,1,"phi.z1",10,0.532519062770754,0.53957278246642,0.232345397484305,0.125821888711461
7,4,2,"phi.z1",10,0.641225327804662,0.632921358112946,0.216422674214542,0.087229487862567
7,4,3,"phi.z1",10,0.662190801529795,0.656049312018925,0.195749821782989,0.0741310754643464
7,4,4,"phi.z1",10,0.689587069522423,0.715688608551528,0.192171757589644,0.0625829704445502
7,4,5,"phi.z1",10,0.678223004179038,0.717599774931829,0.167491625951239,0.0600034441231274
7,2,1,"phi.z2",10,0.249901730073193,0.254667510017384,0.132597759418981,0.146719029855069
7,2,2,"phi.z2",10,0.28631416671309,0.299764971667709,0.127881909614655,0.113449706299296
7,2,3,"phi.z2",10,0.277357163404223,0.265043219885613,0.118374356650795,0.097118593852514
7,2,4,"phi.z2",10,0.294817942035927,0.273755564359903,0.10874889944394,0.0849950511023206
7,2,5,"phi.z2",10,0.296207375104821,0.273151647060638,0.127768703051887,0.0749398168717805
7,2,1,"phi.tau1",10,0.565115190723515,0.574018094842088,0.132521461052044,0.180001212152875
7,2,2,"phi.tau1",10,0.5447306452423,0.565018381448804,0.0652628771969725,0.130830373442347
7,2,3,"phi.tau1",10,0.554944276982171,0.558634783991631,0.0760356307063463,0.105846499344958
7,2,4,"phi.tau1",10,0.544428836231331,0.543289876783676,0.0708384739351681,0.0922129167276125
7,2,5,"phi.tau1",10,0.534536973417554,0.532090938266624,0.0661444614680541,0.0857054239503062
7,4,1,"phi.tau1",10,0.656325575277971,0.663699596635806,0.111590827772046,0.131794435662134
7,4,2,"phi.tau1",10,0.649596120064612,0.647515049119775,0.0840798970333503,0.0922660778610423
7,4,3,"phi.tau1",10,0.669934985964462,0.672059460984563,0.0800628308865297,0.0700014097067219
7,4,4,"phi.tau1",10,0.660477535158628,0.641249648166673,0.0755422298755547,0.0621402984112478
7,4,5,"phi.tau1",10,0.660171484654922,0.657669410768441,0.0800556655545179,0.0553586048533802
7,2,1,"phi.tau2",10,0.0909131308494548,0.0918393581249575,0.137554105591083,0.221505205358719
7,2,2,"phi.tau2",10,0.141506765274365,0.154298830181458,0.0950342105760975,0.161281082165898
7,2,3,"phi.tau2",10,0.156653340924262,0.183365055241573,0.11616480881744,0.128020654394512
7,2,4,"phi.tau2",10,0.169942120542437,0.166004217828833,0.0859400542799565,0.110114749032777
7,2,5,"phi.tau2",10,0.185920494190603,0.181105513948476,0.0749150233740258,0.100720697304662
7,2,1,"phi.w1",10,0,0,0,0
7,2,2,"phi.w1",10,0,0,0,0
7,2,3,"phi.w1",10,0,0,0,0
7,2,4,"phi.w1",10,0,0,0,0
7,2,5,"phi.w1",10,0,0,0,0
7,4,1,"phi.w1",10,0,0,0,0
7,4,2,"phi.w1",10,0,0,0,0
7,4,3,"phi.w1",10,0,0,0,0
7,4,4,"phi.w1",10,0,0,0,0
7,4,5,"phi.w1",10,0,0,0,0
7,2,1,"phi.w2",10,0,0,0,0
7,2,2,"phi.w2",10,0,0,0,0
7,2,3,"phi.w2",10,0,0,0,0
7,2,4,"phi.w2",10,0,0,0,0
7,2,5,"phi.w2",10,0,0,0,0
