"setting","method","dataset","block","param","mean","sd","q025","q50","q975","truth","truth_is_generating","covered"
7,1,10,5,"gamma",0.870835490687062,0.0168454121530783,0.839022674542299,0.869639822487455,0.907937877204921,0.9,TRUE,TRUE
7,1,10,5,"tau.alpha",3.74494,0.388870181939732,3.05,3.7,4.55,3,TRUE,FALSE
7,1,10,5,"tau.beta",16.4617673261383,1.85039590095373,13.0795921819844,16.3621727435664,20.2918842522641,8,TRUE,FALSE
7,1,10,5,"phi.z1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,10,5,"phi.z2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,10,5,"phi.tau1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,10,5,"phi.tau2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,10,5,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,10,5,"phi.w2",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,2,1,"beta0",10.3239169488236,0.214040967399296,9.88614100944349,10.3268389800773,10.7335741892208,10,TRUE,TRUE
7,1,2,1,"beta1",-0.0207156865927427,0.0174473988960922,-0.0543975088216004,-0.0204627356777579,0.0133291779734095,0,TRUE,TRUE
7,1,2,1,"beta2",-0.0292168958142826,0.0171586351827299,-0.0623660489468026,-0.029411553128844,0.00448694108120791,0,TRUE,TRUE
7,1,2,1,"lambda",1.18223732093802,0.145779904480487,0.929470626175237,1.17093015783361,1.49049362331262,3,TRUE,FALSE
7,1,2,1,"rho",0.963706843729625,0.114963711044709,0.74462201812965,0.957931968849075,1.2143099429566,1,TRUE,TRUE
7,1,2,1,"nu",0.573319362972815,0.0937932989509298,0.42101022263418,0.565349312317124,0.789080534129489,0.5,TRUE,TRUE
7,1,2,1,"gamma",0.889134207267356,0.0309373180982617,0.833696659998822,0.886484781792647,0.955055545934973,0.9,TRUE,TRUE
7,1,2,1,"tau.alpha",3.57862,0.620453376039799,2.4,3.55,4.8,3,TRUE,TRUE
7,1,2,1,"tau.beta",13.8937999084848,2.62943363118028,8.96919220257451,13.8327456838624,19.0784842484289,8,TRUE,FALSE
7,1,2,1,"phi.z1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,2,1,"phi.z2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,2,1,"phi.tau1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,2,1,"phi.tau2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,2,1,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,2,1,"phi.w2",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,2,2,"beta0",10.0087254043958,0.16802020302941,9.66893110042441,10.0125378365211,10.3281189450203,10,TRUE,TRUE
7,1,2,2,"beta1",-0.0127298285679434,0.0136560479128998,-0.03934061033387,-0.0128303519147887,0.0134510345302603,0,TRUE,TRUE
7,1,2,2,"beta2",0.000303507262388368,0.0135366202158221,-0.0263888173340646,0.000324474941275109,0.0264768875117992,0,TRUE,TRUE
7,1,2,2,"lambda",1.09328760598046,0.110326969162223,0.898401365427671,1.08647217822081,1.32778466735137,3,TRUE,FALSE
7,1,2,2,"rho",0.982293282619141,0.0876261332517248,0.825358245069486,0.979142734276227,1.16215836778328,1,TRUE,TRUE
7,1,2,2,"nu",0.537434559062354,0.0636068602300143,0.426821591293443,0.531828226053517,0.671089529955627,0.5,TRUE,TRUE
7,1,2,2,"gamma",0.907226110205884,0.0242804502973244,0.864097811930905,0.905515079186314,0.956094342271761,0.9,TRUE,TRUE
7,1,2,2,"tau.alpha",4.25624,0.478773939191018,3.2,4.3,5,3,TRUE,FALSE
7,1,2,2,"tau.beta",16.9964924297711,2.14472735676887,12.6099341662884,17.1497677634068,20.7807614756607,8,TRUE,FALSE
7,1,2,2,"phi.z1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,2,2,"phi.z2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,2,2,"phi.tau1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,2,2,"phi.tau2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,2,2,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,2,2,"phi.w2",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,2,3,"beta0",9.87235894463654,0.133017166217989,9.60997062805037,9.87518601129922,10.1273364710243,10,TRUE,TRUE
7,1,2,3,"beta1",-0.0207807152050352,0.0113603140560244,-0.0432926736020289,-0.0207399319073944,0.00114144937268331,0,TRUE,TRUE
7,1,2,3,"beta2",-0.00127475833331302,0.0113794986837979,-0.0235186578397798,-0.00131165600162265,0.0213414256403066,0,TRUE,TRUE
7,1,2,3,"lambda",1.09195770694009,0.0910626204977333,0.928644873361849,1.08751362168096,1.28470755411223,3,TRUE,FALSE
7,1,2,3,"rho",0.959468656439106,0.0652234843645682,0.840066394780941,0.956435424589773,1.09067097874651,1,TRUE,TRUE
7,1,2,3,"nu",0.530700242570459,0.0474882778692463,0.443993855054623,0.528789769061606,0.626729034102525,0.5,TRUE,TRUE
7,1,2,3,"gamma",0.904964296351201,0.0193870543846813,0.869060022504071,0.904400424660735,0.94592271462693,0.9,TRUE,TRUE
7,1,2,3,"tau.alpha",4.599055,0.330259389119235,3.8,4.65,5,3,TRUE,FALSE
7,1,2,3,"tau.beta",18.0841536850709,1.55733970613433,14.6048030140362,18.242574309037,20.6966769467116,8,TRUE,FALSE
7,1,2,3,"phi.z1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,2,3,"phi.z2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,2,3,"phi.tau1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,2,3,"phi.tau2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,2,3,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,2,3,"phi.w2",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,2,4,"beta0",9.80376967995283,0.1132098514033,9.57766563955329,9.80655496272511,10.0205893170814,10,TRUE,TRUE
