"setting","dataset","method","block","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
7,"5","4","1",2.70260407351139,14.1035616570378,1.28161500823405,1.11787032687425,1.14647913753794,0.989431475488875,0.661934223830133,NA,0.713357699826981,NA,2.66133556912442,3.21330288749088,17.5672595989645,17.4613741667084,1,1,1,1
7,"6","4","1",3.75440610370337,10.130919065598,2.25136282277946,1.46138676882644,1.54056603686606,0.879842816016278,0.785648183103668,NA,0.672678508831998,NA,3.47803450114416,5.27119830809445,18.583449389092,18.3053309339927,0,1,1,1
7,"7","4","1",2.88557026739656,11.1825848842522,2.27691740824595,1.78963471094653,1.27228053541815,0.998221534127271,0.530233209233091,NA,0.479579753931419,NA,4.91068239464924,5.68103028772811,17.7527900588043,17.5653103701161,1,1,1,1
7,"8","4","1",1.15616281604262,10.4395046134732,1.55588224098165,1.39572908688544,1.11474515763915,0.867855883305915,0.45622210930675,NA,0.850718659500684,NA,1.94215564970162,2.37874050551106,12.2383578066372,12.4651404500697,1,1,0,1
7,"9","4","1",0.918876824464665,10.4494558219966,1.16631410787098,1.27447804813315,0.915130793801738,0.891515162663978,0.161337543425405,NA,0.654720684439615,NA,2.38075300137337,2.38075300137337,11.5211548257654,11.6485907025735,1,1,0,1
7,"10","4","1",3.00699556175897,11.6262201346022,2.12566252886143,1.88487843892381,1.12774515584946,0.780152589049829,0.604523259501475,NA,0.731682238626816,NA,4.76531245176194,6.34657154257176,18.0180779246858,17.8696967772061,1,1,1,1
7,"1","1","2",1.1243646090448,9.92079393452477,1.46006759233343,1.40976250253529,1.03568337908526,1.0417132825382,NA,NA,NA,NA,2.30070870943363,2.34976686568148,11.5624422621577,11.6939338506542,1,1,0,1
7,"2","1","2",1.09328760598046,10.0087254043958,1.67045493809527,1.71843699057995,0.972078084475774,1.01487752502442,NA,NA,NA,NA,2.84836475246848,2.84836475246848,11.8350130845642,11.7628139565778,1,1,0,1
7,"3","1","2",3.57583727782372,11.1302643316241,2.28944608976643,1.90628931918377,1.20099612725456,0.972366316537543,NA,NA,NA,NA,6.4644821962926,6.67936611216872,19.3169510049786,19.4517511657762,1,1,1,1
7,"4","1","2",1.301671197429,10.2228266085911,1.11956365341461,1.1594618217501,0.965589062453764,1.11418836038266,NA,NA,NA,NA,2.04511343201315,2.06106671587027,11.6801303699293,11.7203555751525,1,1,1,1
7,"5","1","2",4.15289778694204,14.2888316385979,1.1522405967652,1.10325763436002,1.04439848035458,0.932805169358306,NA,NA,NA,NA,4.21450561965859,4.32383584306893,19.0739690629289,19.0555409104497,1,1,1,1
7,"6","1","2",3.48861921386518,12.1374052899636,1.71294773436642,1.48090971996304,1.15668613101491,0.881244758507934,NA,NA,NA,NA,4.87589581477328,4.95887945473315,18.1132276684212,17.9181724247229,1,1,1,1
7,"7","1","2",3.37207280456507,11.7186590428359,2.12279594187247,1.82965632583091,1.1602156710542,0.831120270188915,NA,NA,NA,NA,6.13552056184091,6.20777972110183,18.8768815080652,18.7821194477044,1,1,1,1
7,"8","1","2",1.17354021556971,10.3041715890344,1.55480816587884,1.5110550090631,1.02895536995894,0.929878616922838,NA,NA,NA,NA,2.50538637137312,2.55845993187492,12.1288014991894,12.27473294046,1,1,0,1
7,"9","1","2",1.36966207938165,10.4614346488827,1.22957207446884,1.27484489902212,0.96448758230275,1.10024690234464,NA,NA,NA,NA,2.25598681525433,2.29350712157085,12.1455328931493,12.2309012567358,1,1,1,1
7,"10","1","2",2.91986704645689,12.0270120979848,1.91762425496534,1.77056832607275,1.08305577747387,0.766722029342728,NA,NA,NA,NA,5.19379531084774,5.23771288243681,17.6262199675445,17.562097096976,1,1,1,1
7,"1","2","2",1.39251303050795,9.88973369374609,1.2351052533148,1.39792482682111,0.883527661586384,0.897841417769301,0.354901333271194,0.35126037646217,0.555355993046791,0.047555458634598,2.29278834597172,2.58928791847283,11.6096338530358,11.6939338506542,1,1,1,1
7,"2","2","2",1.19765845789276,9.98715533481745,1.55489783627278,1.71575919574993,0.906244792465271,0.946261441093896,0.291502031151127,0.199783003715789,0.587933258298241,-0.0136204735370034,2.83714881034531,2.92913450197328,11.8493918795887,11.7628139565778,1,1,0,1
