"score","method","prop_k","quantile","rel_mean","rel_median"
"brier",5,60,0.93,0.759336882587457,0.757614765845154
"brier",5,60,0.94,0.770453805248598,0.759448441851397
"brier",5,60,0.95,0.779926014535177,0.744504660034954
"brier",5,60,0.96,0.796995002559747,0.745111207016514
"brier",5,60,0.97,0.817647278235977,0.774176834228841
"brier",5,60,0.98,0.84622239807535,0.796276207781473
"brier",5,60,0.99,0.981944157753551,0.863861182179976
"brier",5,60,0.995,1.1745812137271,0.972778745873509
"brier",1,70,0.9,1,1
"brier",1,70,0.91,1,1
"brier",1,70,0.92,1,1
"brier",1,70,0.93,1,1
"brier",1,70,0.94,1,1
"brier",1,70,0.95,1,1
"brier",1,70,0.96,1,1
"brier",1,70,0.97,1,1
"brier",1,70,0.98,1,1
"brier",1,70,0.99,1,1
"brier",1,70,0.995,1,1
"brier",2,70,0.9,0.361994126473887,0.372958388147602
"brier",2,70,0.91,0.370047699844518,0.380156795734604
"brier",2,70,0.92,0.380679220606986,0.381063233615562
"brier",2,70,0.93,0.39426161552847,0.39062480236007
"brier",2,70,0.94,0.407644312350352,0.412396788628068
"brier",2,70,0.95,0.413461672909304,0.421437275143736
"brier",2,70,0.96,0.424410169826184,0.468951181076166
"brier",2,70,0.97,0.445744736829541,0.469110200124079
"brier",2,70,0.98,0.483411294561938,0.52791264233972
"brier",2,70,0.99,0.682015384445442,0.657769224716972
"brier",2,70,0.995,0.820046471940415,0.733427005721756
"brier",3,70,0.9,0.816589877377902,0.823129281710616
"brier",3,70,0.91,0.851349921322281,0.855219119116994
"brier",3,70,0.92,0.888467381670856,0.888277568017125
"brier",3,70,0.93,0.929675612632232,0.919905791372343
"brier",3,70,0.94,0.977940567620345,0.982563522846486
"brier",3,70,0.95,1.03075246306723,1.02777460540789
"brier",3,70,0.96,1.10717386157068,1.07691084356731
"brier",3,70,0.97,1.2123315543845,1.2020204544087
