setting,method_id,method_key,family,baseline_label,proposal_label,prop_k,quantile,band,datasets_compared,baseline_brier,prop_brier,delta_brier,improve_brier_pct,baseline_quant,prop_quant,delta_quant,improve_quant_pct
4,5,5,t_k5_thresh_q80,"t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.92,bulk,3,0.024879554,0.046294313,0.02141476,-92.80946621,1.444335254,1.561371704,0.11703645,-7.775919033
4,5,5,t_k5_thresh_q80,"t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.93,bulk,3,0.021863989,0.041188148,0.019324158,-97.91348967,1.322800501,1.435810319,0.113009818,-8.131806034
4,5,5,t_k5_thresh_q80,"t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.94,bulk,3,0.01752275,0.035688381,0.018165631,-119.0407577,1.191770009,1.298588733,0.106818724,-8.463964371
4,5,5,t_k5_thresh_q80,"t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.95,bulk,3,0.014108881,0.030694994,0.016586113,-161.1579816,1.047771622,1.14815517,0.100383548,-8.951703723
4,5,5,t_k5_thresh_q80,"t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.96,other,3,0.012001721,0.024975005,0.012973284,-141.0809711,0.886845559,0.983646741,0.096801182,-10.05521364
4,5,5,t_k5_thresh_q80,"t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.97,other,3,0.010116699,0.018973456,0.008856757,-95.88413838,0.707603092,0.798815879,0.091212787,-11.65170866
4,5,5,t_k5_thresh_q80,"t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.98,tail,3,0.007623596,0.012926698,0.005303101,-76.08374218,0.507698858,0.580485738,0.072786881,-12.76280487
4,5,5,t_k5_thresh_q80,"t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.99,tail,3,0.00617997,0.006993462,0.000813492,-14.8005981,0.28021191,0.303874947,0.023663037,-7.737843895
4,5,5,t_k5_thresh_q80,"t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.995,tail,3,0.003876556,0.003967151,9.06E-05,-3.305149974,0.152665008,0.154785403,0.002120395,-2.003266463
5,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.9,bulk,3,0.033853508,0.066650075,0.032796567,-100.216331,1.719538528,1.733601091,0.014062563,-0.802028646
5,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.91,bulk,3,0.030424332,0.061253644,0.030829312,-104.5598006,1.611495517,1.629156396,0.017660879,-1.067592891
5,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.92,bulk,3,0.027115588,0.054979899,0.027864311,-105.526142,1.49576867,1.51797242,0.02220375,-1.44405631
5,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.93,bulk,3,0.025466926,0.050757288,0.025290362,-102.7192028,1.372171753,1.398369659,0.026197906,-1.854533872
5,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.94,bulk,3,0.022063502,0.044959328,0.022895826,-106.2730196,1.238674617,1.269053383,0.030378766,-2.390476319
5,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.95,bulk,3,0.01999234,0.039334943,0.019342603,-97.55301078,1.090817961,1.127163514,0.036345553,-3.282766537
5,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.96,other,3,0.017018746,0.032582154,0.015563408,-94.73110801,0.92768353,0.97169757,0.04401404,-4.721877313
5,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.97,other,3,0.012101814,0.025175376,0.013073562,-111.9803933,0.747136972,0.799931988,0.052795016,-7.022230933
5,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.98,tail,3,0.007165518,0.017579759,0.010414241,-145.8134203,0.542754764,0.605830464,0.0630757,-11.49420514
5,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.99,tail,3,0.005581086,0.009402663,0.003821576,-72.83324167,0.30416271,0.377824039,0.07366133,-23.91983328
5,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.995,tail,3,0.003532375,0.004658986,0.001126611,-33.93970168,0.171910019,0.237860192,0.065950173,-37.69961554
5,1,1,gaussian,Gaussian,Gaussian + prop(k=8),8,0.9,bulk,2,0.037072784,0.059860434,0.02278765,-62.18126132,1.688170321,1.703226097,0.015055776,-0.869132175
5,1,1,gaussian,Gaussian,Gaussian + prop(k=8),8,0.91,bulk,2,0.033291245,0.054329275,0.02103803,-63.50987414,1.584489417,1.600834322,0.016344905,-0.999621795
5,1,1,gaussian,Gaussian,Gaussian + prop(k=8),8,0.92,bulk,2,0.029145577,0.048498201,0.019352624,-67.11726861,1.47433056,1.492246672,0.017916112,-1.17951708
5,1,1,gaussian,Gaussian,Gaussian + prop(k=8),8,0.93,bulk,2,0.027839064,0.045433649,0.017594585,-63.79853569,1.356686498,1.374818031,0.018131534,-1.298499471
5,1,1,gaussian,Gaussian,Gaussian + prop(k=8),8,0.94,bulk,2,0.023926807,0.039380691,0.015453884,-64.92578861,1.231469785,1.246791291,0.015321506,-1.212912561
5,1,1,gaussian,Gaussian,Gaussian + prop(k=8),8,0.95,bulk,2,0.020820607,0.033781628,0.01296102,-62.30288512,1.091511055,1.107243403,0.015732348,-1.433234627
5,1,1,gaussian,Gaussian,Gaussian + prop(k=8),8,0.96,other,2,0.018580396,0.028372804,0.009792408,-53.03672643,0.93520896,0.954576505,0.019367545,-2.071180071
5,1,1,gaussian,Gaussian,Gaussian + prop(k=8),8,0.97,other,2,0.013193249,0.021377844,0.008184595,-62.46121768,0.755844243,0.785358925,0.029514682,-3.862332731
5,1,1,gaussian,Gaussian,Gaussian + prop(k=8),8,0.98,tail,2,0.007318688,0.013544258,0.00622557,-83.3659695,0.552492472,0.592318127,0.039825656,-7.044285705
5,1,1,gaussian,Gaussian,Gaussian + prop(k=8),8,0.99,tail,2,0.004971953,0.00810456,0.003132606,-65.78526867,0.314480038,0.365772345,0.051292307,-15.99337885
5,1,1,gaussian,Gaussian,Gaussian + prop(k=8),8,0.995,tail,2,0.002762288,0.00358581,0.000823522,-33.28430058,0.181950163,0.229398317,0.047448154,-25.75197269
5,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.9,bulk,3,0.033603584,0.059183222,0.025579637,-77.88214716,1.719461456,1.731032735,0.011571279,-0.649915771
5,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.91,bulk,3,0.030382035,0.054680742,0.024298708,-81.54166564,1.611195559,1.626555977,0.015360418,-0.921966795
5,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.92,bulk,3,0.026820743,0.048953362,0.022132619,-83.82855723,1.495014289,1.514052156,0.019037867,-1.233309818
5,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.93,bulk,3,0.025220727,0.044870242,0.019649516,-79.17672277,1.371641463,1.392539419,0.020897957,-1.480554831
5,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.94,bulk,3,0.021964316,0.039087686,0.01712337,-78.26260212,1.238279088,1.259180528,0.02090144,-1.65304645
5,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.95,bulk,3,0.019793228,0.034094487,0.01430126,-72.25039912,1.090251109,1.112724931,0.022473823,-2.042685001
5,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.96,other,3,0.016822443,0.028090168,0.011267726,-67.90916045,0.927184665,0.951913959,0.024729295,-2.659051743
5,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.97,other,3,0.012005363,0.021331815,0.009326452,-78.66422938,0.746564827,0.774019456,0.027454629,-3.637212101
