"score","method","prop_k","quantile","mean","median"
"brier",5,60,0.92,0.0545387039206364,0.0537072187727273
"brier",5,60,0.93,0.0491020096025455,0.0485791488318182
"brier",5,60,0.94,0.0432678810874545,0.0423493405840909
"brier",5,60,0.95,0.0370505087813636,0.0353863758454546
"brier",5,60,0.96,0.0305058280035455,0.0287211393522727
"brier",5,60,0.97,0.0236581707671818,0.0223276828090909
"brier",5,60,0.98,0.0166752496952727,0.0157095195954545
"brier",5,60,0.99,0.00955278533927273,0.00861128533636364
"brier",5,60,0.995,0.00573375296636364,0.00484174024545455
"brier",1,70,0.9,0.0892485405220909,0.0894715025772727
"brier",1,70,0.91,0.0811093483726364,0.0812048379977273
"brier",1,70,0.92,0.0729011180592727,0.0724432429181818
"brier",1,70,0.93,0.0646062288251818,0.0641017713477273
"brier",1,70,0.94,0.0561046912668182,0.0555430335977273
"brier",1,70,0.95,0.0474563381207273,0.0475244753477273
"brier",1,70,0.96,0.0382400362833636,0.0385197555772727
"brier",1,70,0.97,0.0289121360971818,0.0288125119613636
"brier",1,70,0.98,0.0196960959941818,0.01972448265
"brier",1,70,0.99,0.009722377155,0.009965792625
"brier",1,70,0.995,0.00487919028072727,0.0049773197
"brier",2,70,0.9,0.0323074474653636,0.0333691473863636
"brier",2,70,0.91,0.0300143278011818,0.0308705710113636
"brier",2,70,0.92,0.0277519408041818,0.0276054564
"brier",2,70,0.93,0.0254717561498182,0.0250397417636364
"brier",2,70,0.94,0.0228707582910909,0.0229057686863636
"brier",2,70,0.95,0.0196213769495455,0.0200285853931818
"brier",2,70,0.96,0.0162294602931818,0.0180638848727273
"brier",2,70,0.97,0.0128874324958182,0.0135162432522727
"brier",2,70,0.98,0.00952131526236364,0.0104128037545455
"brier",2,70,0.99,0.00663081079309091,0.00655519168863636
"brier",2,70,0.995,0.00400116277563636,0.00365050068409091
"brier",3,70,0.9,0.0728794547610909,0.07364661365
"brier",3,70,0.91,0.0690524373555455,0.0694479300204545
"brier",3,70,0.92,0.064770265483,0.0643497076386364
"brier",3,70,0.93,0.0600628353629091,0.0589675907
"brier",3,70,0.94,0.0548670536236364,0.0545745587613636
"brier",3,70,0.95,0.0489157374060909,0.0488444488977273
"brier",3,70,0.96,0.0423383686384545,0.0414823424727273
"brier",3,70,0.97,0.0350510948952727,0.0346332287204545
"brier",3,70,0.98,0.0268598314776364,0.0262088746909091
"brier",3,70,0.99,0.0178937524601818,0.0170075941909091
"brier",3,70,0.995,0.0131881798652727,0.0114934603
"brier",4,70,0.9,0.0426116936486364,0.0377221830068182
"brier",4,70,0.91,0.0394892126771818,0.0348299574818182
"brier",4,70,0.92,0.0363835679300909,0.0299153063954545
"brier",4,70,0.93,0.0331975135892727,0.0266163860181818
"brier",4,70,0.94,0.0297344330521818,0.0250395060386364
"brier",4,70,0.95,0.0257815500545455,0.0214089241022727
"brier",4,70,0.96,0.0216238700000909,0.0202365729568182
"brier",4,70,0.97,0.0174708094333636,0.0154925772318182
"brier",4,70,0.98,0.013272890263,0.0121126510590909
"brier",4,70,0.99,0.00965957419209091,0.007748279025
"brier",4,70,0.995,0.00650373624627273,0.00450644681136364
"brier",5,70,0.9,0.0718451563628182,0.0715221666409091
"brier",5,70,0.91,0.0662289230045455,0.0659926318363636
"brier",5,70,0.92,0.0604787924464545,0.0599959162977273
"brier",5,70,0.93,0.0547042904317273,0.0538204693977273
"brier",5,70,0.94,0.048562853747,0.0472964344113636
"brier",5,70,0.95,0.041892775141,0.0405170902704545
"brier",5,70,0.96,0.0346444612356364,0.0337080640590909
"brier",5,70,0.97,0.0270315496510909,0.026147519475
"brier",5,70,0.98,0.0191896879870909,0.0180314513636364
"brier",5,70,0.99,0.0114611571481818,0.00953470187727273
"brier",5,70,0.995,0.00725273649945455,0.00566043066136364
"quant",1,10,0.9,1.81489055742905,1.77304216811896
"quant",1,10,0.91,1.70089406610715,1.6590850581804
"quant",1,10,0.92,1.57991251743929,1.53783892628921
"quant",1,10,0.93,1.45112248721904,1.4083354467759
"quant",1,10,0.94,1.31376615822822,1.27011280065142
"quant",1,10,0.95,1.16625348213165,1.12289314374793
"quant",1,10,0.96,1.00609076971041,0.950250642985222
"quant",1,10,0.97,0.830543905552106,0.786822904934892
"quant",1,10,0.98,0.634150824453679,0.607148463134276
"quant",1,10,0.99,0.403506216411116,0.389193367761134
"quant",1,10,0.995,0.262117420658789,0.252309562729581
"quant",2,10,0.9,1.80312645866879,1.76599496611637
"quant",2,10,0.91,1.68926427320954,1.65023467890371
"quant",2,10,0.92,1.56766729470761,1.52878413223481
"quant",2,10,0.93,1.43710648309146,1.39837563978974
"quant",2,10,0.94,1.29628973704428,1.25891451756201
"quant",2,10,0.95,1.1443321642508,1.09777294950147
"quant",2,10,0.96,0.978842006729903,0.937262242821386
"quant",2,10,0.97,0.796502851834026,0.768193145760938
"quant",2,10,0.98,0.589751945604729,0.551378597349175
"quant",2,10,0.99,0.327630255031049,0.305027750858955
"quant",2,10,0.995,0.175290750358304,0.161849349874988
"quant",3,10,0.9,1.92440231981937,1.90553653972633
"quant",3,10,0.91,1.81828631288602,1.8007870989424
"quant",3,10,0.92,1.7016260138292,1.68454669357325
"quant",3,10,0.93,1.57294356137323,1.55515926359705
"quant",3,10,0.94,1.43038043830911,1.40910246583764
"quant",3,10,0.95,1.2714122932122,1.22644617710548
"quant",3,10,0.96,1.09331868460839,1.05289328984066
"quant",3,10,0.97,0.890602157884046,0.856927003405561
"quant",3,10,0.98,0.653570285215267,0.620298525874421
"quant",3,10,0.99,0.36559459072884,0.339216673083908
"quant",3,10,0.995,0.189644322951613,0.169858625913239
"quant",4,10,0.9,1.80546655166086,1.7654676780069
"quant",4,10,0.91,1.69160830514349,1.64969691123665
"quant",4,10,0.92,1.57016768076403,1.52802191941829
"quant",4,10,0.93,1.43985257758082,1.39829044639241
"quant",4,10,0.94,1.29901964755545,1.25826639884634
"quant",4,10,0.95,1.14639370848141,1.09708002419967
"quant",4,10,0.96,0.979061641267823,0.936300545409924
"quant",4,10,0.97,0.792744676155234,0.76320796518154
"quant",4,10,0.98,0.581950457936,0.554427198939528
"quant",4,10,0.99,0.320107480572207,0.304452035893419
"quant",4,10,0.995,0.171384541824878,0.161135437027649
"quant",5,10,0.9,1.91763657202479,1.90766693814619
"quant",5,10,0.91,1.80912157069319,1.79682620529018
"quant",5,10,0.92,1.69062629924701,1.67628821049693
"quant",5,10,0.93,1.56084484279634,1.54426368169858
