"metric_family","metric","ranking_group","quantile","target_type","target_level","threshold_value","band_type","target_value","prediction_cutoff","ranking_basis","rank","setting","rank_value","score_value","score_se","rel_score_to_gaussian","rel_to_gaussian","gap_to_target","score_direction","method","knots","thresh","CMAQ","TS","ar2","mrts","setting_orig","source","is_baseline","is_proposed","model_lane"
"split_score","brier_split","brier_split__below_threshold__q0.95",0.95,"threshold_quantile",0.95,79.75,"below_threshold",NA,NA,"rel_to_gaussian",2,1,1,0.00843169951156119,0.000588712028187025,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"split_score","brier_split","brier_split__above_threshold__q0.95",0.95,"threshold_quantile",0.95,79.75,"above_threshold",NA,NA,"rel_to_gaussian",1,21,0.751713727103376,0.285833738147365,0.00469357899095002,0.751713727103376,0.751713727103376,NA,"lower_better","skew-t",1,50,"yes",NA,NA,"200",20,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"split_score","brier_split","brier_split__above_threshold__q0.95",0.95,"threshold_quantile",0.95,79.75,"above_threshold",NA,NA,"rel_to_gaussian",2,16,0.786777027970929,0.299166306114931,0.0341715265718732,0.786777027970929,0.786777027970929,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"200",15,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"split_score","brier_split","brier_split__all__q0.98",0.98,"threshold_quantile",0.98,88.5,"all",NA,NA,"rel_to_gaussian",1,1,1,0.0129121358741124,0.00068324673182685,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"split_score","brier_split","brier_split__all__q0.98",0.98,"threshold_quantile",0.98,88.5,"all",NA,NA,"rel_to_gaussian",2,13,1.14064927321423,0.0147282184004497,0.00126173497626033,1.14064927321423,1.14064927321423,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"140",12,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"split_score","brier_split","brier_split__below_threshold__q0.98",0.98,"threshold_quantile",0.98,88.5,"below_threshold",NA,NA,"rel_to_gaussian",1,2,0.833322564580302,0.00184520936027818,7.53799454072132e-05,0.833322564580302,0.833322564580302,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"20",1,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"split_score","brier_split","brier_split__below_threshold__q0.98",0.98,"threshold_quantile",0.98,88.5,"below_threshold",NA,NA,"rel_to_gaussian",2,3,0.861633801557914,0.0019078983617436,0.000174968928134876,0.861633801557914,0.861633801557914,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"40",2,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"split_score","brier_split","brier_split__above_threshold__q0.98",0.98,"threshold_quantile",0.98,88.5,"above_threshold",NA,NA,"rel_to_gaussian",1,21,0.650596949418811,0.351297811618377,0.0467244175314205,0.650596949418811,0.650596949418811,NA,"lower_better","skew-t",1,50,"yes",NA,NA,"200",20,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"split_score","brier_split","brier_split__above_threshold__q0.98",0.98,"threshold_quantile",0.98,88.5,"above_threshold",NA,NA,"rel_to_gaussian",2,20,0.803450957453703,0.433833210174617,0.0065777992180954,0.803450957453703,0.803450957453703,NA,"lower_better","skew-t",1,50,"yes",NA,NA,"180",19,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"split_score","brier_split","brier_split__all__q0.99",0.99,"threshold_quantile",0.99,94.75,"all",NA,NA,"rel_to_gaussian",1,1,1,0.00726353072383586,0.000585627911466105,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"split_score","brier_split","brier_split__all__q0.99",0.99,"threshold_quantile",0.99,94.75,"all",NA,NA,"rel_to_gaussian",2,13,1.1150800497958,0.00809941820122823,0.000964852939912906,1.1150800497958,1.1150800497958,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"140",12,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"split_score","brier_split","brier_split__below_threshold__q0.99",0.99,"threshold_quantile",0.99,94.75,"below_threshold",NA,NA,"rel_to_gaussian",1,3,0.679325522167925,0.000511084437730584,2.05298821750285e-05,0.679325522167925,0.679325522167925,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"40",2,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
