"setting","metric","quantile","target_type","target_level","threshold_value","score_mean","score_se","rel_to_gaussian","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
5,"brier",0.7,"threshold_quantile",0.7,60.125,0.124109778880537,0.000229494409419426,1.43483131819635,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.8,"threshold_quantile",0.8,65.5,0.0894929697530689,0.00194861415083501,1.25087198497733,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.9,"threshold_quantile",0.9,73.25,0.0490600013015867,0.000279944283998926,1.08913598006964,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.95,"threshold_quantile",0.95,79.75,0.0274888219991685,0.00108570778394799,1.01696959673299,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.98,"threshold_quantile",0.98,88.5,0.0128013332378803,0.000619954506530788,0.991418721324465,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.99,"threshold_quantile",0.99,94.75,0.00698942508975968,0.000703806431761844,0.962262755607726,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.995,"threshold_quantile",0.995,100.52,0.00388544895669488,0.000144758480742558,0.964086116589391,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0,"score_quantile",0,NA,0,0,NA,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.1,"score_quantile",0.1,NA,5.64714291198168,0.0158550156549619,1.28387889606458,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.2,"score_quantile",0.2,NA,8.71409594308957,0.0520443116466893,1.2015021119017,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.3,"score_quantile",0.3,NA,10.6788185142654,0.0525016334058312,1.15976157195253,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.4,"score_quantile",0.4,NA,11.7856633199541,0.0445079266734742,1.13141963545382,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.5,"score_quantile",0.5,NA,12.065904784502,0.0278163215543401,1.10547763645299,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.6,"score_quantile",0.6,NA,11.5715210973307,0.0232842638514752,1.08078130744671,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.7,"score_quantile",0.7,NA,10.32310216252,0.0389383086860082,1.05861749229835,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.8,"score_quantile",0.8,NA,8.25292550478371,0.0182264205646225,1.03917577341774,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.9,"score_quantile",0.9,NA,5.162587251727,0.0062404842377255,1.02405679282992,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.95,"score_quantile",0.95,NA,3.05169755031426,0.00187047023096287,1.01678512142698,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
