"band_type","event_quantile","event_threshold_value","score_mean","score_se","rel_to_gaussian","n_obs_total","n_obs_mean_per_fold","obs_share","score_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
"below_threshold",0.9,73.25,0.0180802805620139,0.000671757230217984,1.00053109828034,21603,10801.5,0.900687929956223,"lower_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.9,73.25,0.287785429286367,0.00177066285896127,0.993001978736464,2382,1191,0.0993120700437774,"lower_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.95,79.75,0.0270020669205565,0.00200137883853596,0.998961727351806,23985,11992.5,1,"lower_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.95,79.75,0.00907418324428938,0.000508713443799358,1.07619860407113,22787,11393.5,0.950052115905774,"lower_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.95,79.75,0.367403609370301,0.0123121049063289,0.966234211332298,1198,599,0.0499478840942256,"lower_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.98,88.5,0.0127851634917513,0.000593736628368803,0.990166430743989,23985,11992.5,1,"lower_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.98,88.5,0.00283034559706504,0.000193294454037931,1.27822397954844,23508,11754,0.980112570356473,"lower_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.98,88.5,0.503305852685795,0.00230425581622951,0.932112986623803,477,238.5,0.0198874296435272,"lower_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.99,94.75,0.00700461214300071,0.000490565541350302,0.964353619378867,23985,11992.5,1,"lower_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.99,94.75,0.00109155982237426,0.000121198721364156,1.45088441668187,23746,11873,0.990035438815927,"lower_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.99,94.75,0.593974512778478,0.0245631691887348,0.9090175378523,239,119.5,0.00996456118407338,"lower_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.995,100.52,0.00393850403943453,4.26509303126568e-06,0.977250533173907,23985,11992.5,1,"lower_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.995,100.52,0.000434507276062607,2.57566468208805e-05,1.87630792358032,23865,11932.5,0.994996873045654,"lower_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.995,100.52,0.701424402413793,0.0188336624137931,0.922106134085642,120,60,0.00500312695434647,"lower_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.9,73.25,0.0448217672813098,0.00110078246843993,0.995046843482326,23985,11992.5,1,"lower_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.9,73.25,0.0184486785983087,0.000598316952704087,1.02091760116641,21603,10801.5,0.900687929956223,"lower_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.9,73.25,0.284088169996416,0.00224823502088545,0.980244606690464,2382,1191,0.0993120700437774,"lower_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.95,79.75,0.0267588600719412,0.00200070061207619,0.989964107491395,23985,11992.5,1,"lower_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.95,79.75,0.00933786652360994,0.000584292659416733,1.10747145469383,22787,11393.5,0.950052115905774,"lower_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.95,79.75,0.357570432365039,0.0113704377780448,0.940373953604145,1198,599,0.0499478840942256,"lower_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.98,88.5,0.0126099411676993,0.000661105252053754,0.976596071373524,23985,11992.5,1,"lower_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.98,88.5,0.00308805075921991,0.0002754202977599,1.3946072644241,23508,11754,0.980112570356473,"lower_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.98,88.5,0.481793438289738,0.00242838681147686,0.892272399185381,477,238.5,0.0198874296435272,"lower_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.99,94.75,0.00690039069027893,0.000590571815560246,0.950005025467124,23985,11992.5,1,"lower_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
