"band_type","event_quantile","event_threshold_value","score_mean","score_se","rel_to_gaussian","n_obs_total","n_obs_mean_per_fold","obs_share","score_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","model_lane"
"below_threshold",0.9,73.25,0.0292915762309678,0.000151051615157454,1.62094458856495,21603,10801.5,0.900687929956223,"lower_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"above_threshold",0.9,73.25,0.256941073054946,0.002631290044565,0.886573703869995,2382,1191,0.0993120700437774,"lower_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"all",0.95,79.75,0.0318691446858311,0.00194171218437242,1.17902292140258,23985,11992.5,1,"lower_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"below_threshold",0.95,79.75,0.0141236748055788,0.000256775148918904,1.67506856550249,22787,11393.5,0.950052115905774,"lower_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"above_threshold",0.95,79.75,0.368076932302229,0.0258983283654977,0.968004982319602,1198,599,0.0499478840942256,"lower_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"all",0.98,88.5,0.0147550116122837,0.000812182291620203,1.14272431425277,23985,11992.5,1,"lower_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"below_threshold",0.98,88.5,0.00341362889901989,0.000220946224630997,1.54164294301425,23508,11754,0.980112570356473,"lower_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"above_threshold",0.98,88.5,0.572552199274424,0.0312301215352931,1.06035591999539,477,238.5,0.0198874296435272,"lower_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"all",0.99,94.75,0.00821536171402085,0.000949670087780955,1.13104246768882,23985,11992.5,1,"lower_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"below_threshold",0.99,94.75,0.00108362821552936,4.37232828694268e-05,1.44034184765851,23746,11873,0.990035438815927,"lower_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"above_threshold",0.99,94.75,0.715175379802438,0.0757528854434636,1.0945031291655,239,119.5,0.00996456118407338,"lower_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"all",0.995,100.52,0.00448891127150657,0.000185827453885494,1.1138216159047,23985,11992.5,1,"lower_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"below_threshold",0.995,100.52,0.0002854384377371,7.35131917823948e-06,1.23259248331514,23865,11932.5,0.994996873045654,"lower_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"above_threshold",0.995,100.52,0.84255562971079,0.063440681323693,1.10763998485239,120,60,0.00500312695434647,"lower_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"all",0.9,73.25,0.0563397709791862,0.00102958842021316,1.25074745320748,23985,11992.5,1,"lower_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
