"calibration_type","bin_id","bin_left","bin_right","bin_mid","expected_share","observed_share_mean","observed_share_se","share_gap","count_total","count_mean_per_fold","summary_draws_used","n_obs_total","bin_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","model_lane"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0970629293960127,0.00604017370709043,-0.00293707060398737,2328,1164,400,23985,"closer_to_expected_share_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.101856576506489,0.00333194534869954,0.00185657650648902,2443,1221.5,400,23985,"closer_to_expected_share_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.109443026422271,0.00100125131382946,0.00944302642227125,2625,1312.5,400,23985,"closer_to_expected_share_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.111485798126208,0.00145910476618153,0.0114857981262081,2674,1337,400,23985,"closer_to_expected_share_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.107107013239796,0.00425416038694358,0.00710701323979646,2569,1284.5,400,23985,"closer_to_expected_share_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.0996019775714699,0.00517421647704219,-0.000398022428530043,2389,1194.5,400,23985,"closer_to_expected_share_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.082006206005956,0.00901654968296628,-0.017993793994044,1967,983.5,400,23985,"closer_to_expected_share_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"pit_histogram",10,0.9,1,0.95,0.1,0.0980982545436159,0.0125960857081137,-0.00190174545638409,2353,1176.5,400,23985,"closer_to_expected_share_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"pit_histogram",1,0,0.1,0.05,0.1,0.0813048920388255,0.01087061680335,-0.0186951079611745,1950,975,400,23985,"closer_to_expected_share_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0740898750713705,0.00507262075779205,-0.0259101249286296,1777,888.5,400,23985,"closer_to_expected_share_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0861819246102817,0.00816241973406264,-0.0138180753897183,2067,1033.5,400,23985,"closer_to_expected_share_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.0953147446020664,0.0137943645070427,-0.00468525539793355,2286,1143,400,23985,"closer_to_expected_share_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.10356680761782,0.00554230149128874,0.00356680761782038,2484,1242,400,23985,"closer_to_expected_share_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.115112862299659,0.00199974918654588,0.0151128622996589,2761,1380.5,400,23985,"closer_to_expected_share_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.117528193359651,0.00958691875170995,0.0175281933596513,2819,1409.5,400,23985,"closer_to_expected_share_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.110857763239609,0.00850541088725635,0.0108577632396087,2659,1329.5,400,23985,"closer_to_expected_share_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.110482419153337,0.00879740080165187,0.0104824191533369,2650,1325,400,23985,"closer_to_expected_share_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"pit_histogram",10,0.9,1,0.95,0.1,0.10556051800738,0.014552843666372,0.00556051800737975,2532,1266,400,23985,"closer_to_expected_share_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"pit_histogram",1,0,0.1,0.05,0.1,0.0786358689271918,0.00903513541047924,-0.0213641310728082,1886,943,400,23985,"closer_to_expected_share_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0724231358139835,0.00765694426609655,-0.0275768641860165,1737,868.5,400,23985,"closer_to_expected_share_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0849727884924184,0.00803688785059128,-0.0150272115075816,2038,1019,400,23985,"closer_to_expected_share_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.0945202829736463,0.00766523587853921,-0.00547971702635366,2267,1133.5,400,23985,"closer_to_expected_share_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.0986460328795913,0.0027887352218435,-0.00135396712040871,2366,1183,400,23985,"closer_to_expected_share_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
