"setting","method","mrts_k","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
3,4,15,"tau.beta",10,46.961836104745,46.9666786603621,5.71114290763063,5.62733065165171
3,4,20,"tau.beta",10,45.9268910898453,45.0821181964948,6.54188499574479,5.47830605332852
3,4,25,"tau.beta",10,46.5624536709125,47.5029529125989,5.36931415730304,5.63156232588199
3,5,0,"tau.beta",10,23.4078882790475,11.3707012767105,24.4565840742542,4.08963862954694
3,5,3,"tau.beta",10,23.6844414584017,15.7815392666585,22.3193003032191,5.01547809890139
3,5,5,"tau.beta",10,19.6365306229379,14.5467775345621,18.3785749770292,3.4896270443892
3,5,8,"tau.beta",10,26.841620619002,22.3108412492562,18.7532242889461,4.6004578589347
3,5,10,"tau.beta",10,22.8591900344787,16.0018988113077,19.9021123435622,4.08014089263382
3,5,12,"tau.beta",10,29.0029374995988,26.2540441557134,20.6765825613923,5.31685067964768
3,5,15,"tau.beta",10,26.4640733229509,21.9638549146895,17.6369672939771,4.98707313064276
3,5,20,"tau.beta",10,26.9598048897931,13.5028764284393,23.22218379617,4.25768868499471
3,5,25,"tau.beta",10,23.4837356004817,19.2737595986129,15.3412335048208,5.28932107858991
3,1,0,"rho",10,12.7244422265931,13.5221830721064,2.79634119525025,0.971364421496793
3,1,3,"rho",10,12.7417144552386,13.5728560334817,2.81728329608534,0.959209183578739
3,1,5,"rho",10,12.7490091755949,13.4393091124971,2.76753269251796,0.943520602557721
3,1,8,"rho",10,12.7511139967812,13.5445524467421,2.79384862494967,0.978551166242093
3,1,10,"rho",10,12.8036751528326,13.6330486286861,2.7859331418581,0.959126775595874
3,1,12,"rho",10,12.7827904237089,13.5278166675979,2.77299663254241,0.935700929789182
3,1,15,"rho",10,12.74920262976,13.5500834289536,2.78627826191563,0.992962280447305
3,1,20,"rho",10,12.750521903334,13.5537308146654,2.79675010067116,0.972182175619213
3,1,25,"rho",10,12.7719191234938,13.642008416638,2.81305328131626,0.963342430106423
3,2,0,"rho",10,6.3324049771632,6.33670175376966,1.29630512763893,0.932854308934653
3,2,3,"rho",10,6.29981481713954,6.33881328420641,1.303226963385,0.928941703120984
3,2,5,"rho",10,6.28526803461086,6.3602438633836,1.25889860128781,0.891095983013765
3,2,8,"rho",10,6.33072372108835,6.52958299951818,1.24055420925783,0.909925301708493
3,2,10,"rho",10,6.25242008381166,6.63115690632356,1.16935860973683,0.85559882820101
