"setting","metric","quantile","score_mean","score_se","rel_to_gaussian","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
7,"brier",0.92,0.0381981717373775,0.00188456900002653,0.996696787968593,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"quantile",0.92,4.2801204705734,0.0026419066552239,0.998399888874007,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"brier",0.93,0.0344815367089933,0.0020097828005162,1.00132687531434,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"quantile",0.93,3.87367552896853,0.00445840818612542,0.998311780854138,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"brier",0.94,0.0308761945391528,0.00235359350889524,0.999707859665769,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"quantile",0.94,3.44439611721797,0.00617592877865092,0.997651367217954,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"brier",0.95,0.0270020669205565,0.00200137883853596,0.998961727351806,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"quantile",0.95,2.99021276565575,0.00738860669575159,0.996299207209015,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"brier",0.96,0.0223761192151066,0.00103373492570089,0.997421629434793,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"quantile",0.96,2.50744571722697,0.0111092879844397,0.994694753899117,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"brier",0.97,0.0180986200337872,0.000963501154067296,0.995236685244737,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"quantile",0.97,1.99072279311159,0.0149935854492145,0.993092742198419,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"brier",0.98,0.0127851634917513,0.000593736628368803,0.990166430743989,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"quantile",0.98,1.4290178499433,0.0199756041537853,0.989961212799139,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"brier",0.99,0.00700461214300071,0.000490565541350302,0.964353619378867,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"quantile",0.99,0.804104978366437,0.0216932583226579,0.980449931248356,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"brier",0.995,0.00393850403943453,4.26509303126568e-06,0.977250533173907,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"quantile",0.995,0.451124972644808,0.0193970271817853,0.962220746066915,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
8,"brier",0.9,0.0448217672813098,0.00110078246843993,0.995046843482326,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
