"replicate","phase","setting","method_id","variant","trim_constant","injection_a","beta0_true","beta0_mean","beta0_sd","beta0_bias","beta0_ess","sigma_xi_mean","rank_kept","kept_cols","wall_sec","seed","bias_flag","variance_flag","absorption_flag"
10,"A_gaussian",1,1,"A_trim",TRUE,5,15,14.9044442245937,0.112394003839061,-0.095555775406325,1715.0575194418,0.684345199735187,19,19,35.21,120160,"PASS",NA,NA
10,"A_gaussian",1,1,"B_keep",FALSE,0,10,9.95977746215928,0.135296355932047,-0.0402225378407177,2339.69435031604,0.611559825022277,20,20,35.2699999999995,120110,"PASS",NA,NA
10,"A_gaussian",1,1,"B_keep",FALSE,2,12,11.9620121392053,0.134326835513015,-0.0379878607946988,2147.45060110576,0.612151998599021,20,20,35.6900000000005,120130,"PASS",NA,NA
10,"A_gaussian",1,1,"B_keep",FALSE,5,15,14.9609009047009,0.134868832899632,-0.0390990952991235,1714.56376849839,0.611845002532355,20,20,35.4199999999992,120160,"PASS",NA,NA
10,"B_skewt_k1",4,2,"A_trim",TRUE,0,10,9.42529188996783,0.164750129746345,-0.574708110032169,183.676578851958,0.638333940472703,19,19,59.1199999999999,220410,"PASS",NA,NA
10,"B_skewt_k1",4,2,"A_trim",TRUE,2,12,11.4222001196215,0.166277311007862,-0.577799880378484,143.667563715563,0.638215875252351,19,19,59.5699999999997,220430,"PASS",NA,NA
10,"B_skewt_k1",4,2,"A_trim",TRUE,5,15,14.4031700292235,0.190235273026418,-0.596829970776453,100.06117461446,0.638874266592912,19,19,59.3199999999997,220460,"PASS",NA,NA
10,"B_skewt_k1",4,2,"B_keep",FALSE,0,10,9.71843408795726,0.255172304330803,-0.281565912042737,125.711819593901,0.58689753701788,20,20,59.3599999999997,220410,"PASS",NA,NA
10,"B_skewt_k1",4,2,"B_keep",FALSE,2,12,11.7177382168378,0.257532691851057,-0.282261783162193,154.925322874692,0.592478765049397,20,20,61.0500000000002,220430,"PASS",NA,NA
10,"B_skewt_k1",4,2,"B_keep",FALSE,5,15,14.69246510447,0.27667584319833,-0.307534895529981,109.692961286328,0.583220689474377,20,20,59.7300000000005,220460,"PASS",NA,NA
