"setting","method","K","rel.brier","se","n"
4,"SymT-K5-T",5,0.980217320827508,0.0186812157475647,3
4,"SymT-K5-T",8,0.998676067189538,0.022121248860361,3
4,"SymT-K5-T",10,0.997557413372043,0.0317136740680779,3
4,"SymT-K5-T",12,1.02243656131389,0.0435250563310906,3
4,"SymT-K5-T",15,0.994201313864711,0.0265574796614946,3
4,"SymT-K5-T",20,0.940370880683948,0.0279959731506521,3
4,"SymT-K5-T",25,0.994568852808712,0.00477778839599324,3
4,"SymT-K5-T",30,1.05633064921488,0.0317995408502328,3
4,"SymT-K5-T",40,0.992512465897573,0.0133106219377828,3
4,"SymT-K5-T",50,0.961492241271561,0.035876043358838,3
5,"Gaussian",3,1.00000151199075,2.07232684008579e-05,3
5,"Gaussian",5,1.00055504249001,0.00046048794458558,3
5,"Gaussian",8,1.00083811904269,0.000595873297672503,3
5,"Gaussian",10,1.00041392754398,0.0002961590076081,3
5,"Gaussian",12,1.00101331613277,0.000246585741349683,3
5,"Gaussian",15,1.00044579050077,0.000434215003775439,3
5,"Gaussian",20,1.00052726433549,0.000262871338978242,3
5,"Gaussian",25,1.00164096190706,0.000457407857995037,3
5,"Gaussian",30,1.00203721813467,0.000521801955868231,3
5,"Gaussian",40,1.00059112330741,0.00010929276298452,3
5,"Gaussian",50,1.0038028170717,0.00162241235625708,3
5,"SkewT-K1",3,0.999884436753402,8.19452365201743e-05,3
5,"SkewT-K1",5,1.00044631748247,0.000726062363965354,3
5,"SkewT-K1",8,0.999214875508642,0.000447947452479687,3
5,"SkewT-K1",10,0.99950260931744,0.000289925453367406,3
5,"SkewT-K1",12,0.998770582176895,0.00131875343769984,3
5,"SkewT-K1",15,0.999633459420686,0.000344376639832379,3
5,"SkewT-K1",20,0.999552345766388,0.000310890361069327,3
5,"SkewT-K1",25,1.00140184142651,0.000813088800317427,3
5,"SkewT-K1",30,1.0010942095376,0.00089562513418137,3
5,"SkewT-K1",40,1.00118700125938,0.00114812827903262,3
5,"SkewT-K1",50,1.0022884970194,0.00197851818261071,3
5,"SymT-K1-T",3,1.0004219836405,0.00020262814799625,3
5,"SymT-K1-T",5,1.00034459483849,0.00072236812280605,3
5,"SymT-K1-T",8,0.999827913423373,0.000583097564784046,3
5,"SymT-K1-T",10,1.00022939644245,0.0014456317529138,3
5,"SymT-K1-T",12,1.00048721225991,0.00123813569729533,3
5,"SymT-K1-T",15,1.00082900934689,0.000945108764962811,3
5,"SymT-K1-T",20,1.00031277799215,0.00158172082329067,3
5,"SymT-K1-T",25,1.00080351802247,0.00103262683240619,3
5,"SymT-K1-T",30,1.00247352586074,0.000156176842276022,3
5,"SymT-K1-T",40,1.00399725891281,0.00238067181454274,3
5,"SymT-K1-T",50,1.00651981610315,0.00586745645235967,3
5,"SkewT-K5",3,0.996160165595706,0.00407050367793467,3
5,"SkewT-K5",5,0.993562012438943,0.00430656363419195,3
5,"SkewT-K5",8,0.992464694362057,0.00276345879250933,3
5,"SkewT-K5",10,0.992040321152953,0.0048907525895847,3
5,"SkewT-K5",12,0.993993678136463,0.00454273225852916,3
5,"SkewT-K5",15,0.990088874624909,0.00848791886484318,3
5,"SkewT-K5",20,0.992573291537487,0.00585955654739262,3
5,"SkewT-K5",25,0.997357654496339,0.00164620593736396,3
5,"SkewT-K5",30,0.996274059214987,0.0033405190057632,3
5,"SkewT-K5",40,0.993239967745031,0.00550538463834252,3
5,"SkewT-K5",50,0.996836779710806,0.00446544666559612,3
5,"SymT-K5-T",3,1.02120531722904,0.0250101564014275,3
5,"SymT-K5-T",5,0.972522128964003,0.0237121062619947,3
5,"SymT-K5-T",8,0.975126000682386,0.0234863283381675,3
5,"SymT-K5-T",10,0.973725075563703,0.0253286656041684,3
5,"SymT-K5-T",12,0.987264605585222,0.00648791227908847,3
5,"SymT-K5-T",15,0.979969427457195,0.025103789556825,3
5,"SymT-K5-T",20,0.976970932852223,0.0264741456085613,3
5,"SymT-K5-T",25,0.972552932335402,0.0240262400039293,3
5,"SymT-K5-T",30,1.02262767118143,0.0453667686177645,3
5,"SymT-K5-T",40,1.00883284842206,0.0408065972212368,3
5,"SymT-K5-T",50,1.02622564476077,0.0619076468073041,3
6,"Gaussian",3,1.00002803954911,1.58871145325538e-05,3
6,"Gaussian",5,1.00021329622948,0.000562254609169139,3
6,"Gaussian",8,0.999562767737628,0.0005422391854873,3
6,"Gaussian",10,1.00025359412273,0.000330625407085619,3
