"setting","surf_type","set","K","mse","rel","rec.rmse"
16,"sigmoid_front",9,96,36.3319035874043,0.323163126155487,4.86468110724557
16,"sigmoid_front",10,96,36.3641592407495,0.315874621810022,4.85491672631245
17,"gp_mean",1,96,47.1307050107166,0.350646149581404,6.01889773035755
17,"gp_mean",2,96,54.0839656281535,0.324095748821643,6.50200399835288
17,"gp_mean",3,96,50.7879874100555,0.344840616974009,5.88110384177277
17,"gp_mean",4,96,53.1443073639163,0.339467319541541,6.56559357852031
17,"gp_mean",5,96,46.5356197154812,0.345186474882033,6.15883832341633
17,"gp_mean",6,96,34.1899140570842,0.337322316139006,4.73404538663013
17,"gp_mean",7,96,38.3490440191889,0.366571143850679,5.40923227948837
17,"gp_mean",8,96,31.0529464393171,0.316727813063991,4.3701630206859
17,"gp_mean",9,96,39.8468911880664,0.408206048822793,5.39240253315989
17,"gp_mean",10,96,35.889979184038,0.336304016253781,5.0658124491345
18,"franke_sas",1,96,51.9025417446614,0.321669615882525,5.96182068860989
18,"franke_sas",2,96,46.0375949266151,0.304088545651795,6.05311695952041
18,"franke_sas",3,96,47.0951449195635,0.315554096406015,6.08814154723606
18,"franke_sas",4,96,50.4785454392618,0.329784292512595,6.05523033305203
18,"franke_sas",5,96,49.6556799467315,0.321594379518205,6.01339558784927
18,"franke_sas",6,96,47.0786248541457,0.306060994031085,6.00513498535526
18,"franke_sas",7,96,49.4437127385842,0.321586074794696,6.09296216805198
18,"franke_sas",8,96,49.1319074402213,0.323349060702511,6.04797120614004
18,"franke_sas",9,96,50.8015291432399,0.31873344243807,5.94638725220927
18,"franke_sas",10,96,48.9578930543064,0.323002543658414,6.05700593481277
